step,elapsed_sols,mean_surface_pressure_pa,mean_co2_ice_pa,atmosphere_plus_surface_reservoir_mass_kg,mean_surface_temperature_k,min_surface_temperature_k,max_surface_temperature_k,min_air_temperature_k,max_air_temperature_k,max_wind_speed_ms,mean_deep_soil_temperature_k,dry_atmospheric_mass_kg_m2_sr,atmospheric_energy_excluding_surface_geopotential_j_m2_sr,dry_atmospheric_aam_kg_m_s_sr,mean_dust_visible_optical_depth,mean_dust_longwave_optical_depth
0,0.0,669.6725726505574,0.0,2.5984358235794388e+16,200.0,200.0,200.0,200.0,200.0,0.0,200.0,2261.729791278737,345863005.70846546,1188377019134.885,0.3571682461014599,0.12057434337299222
1480,5.001394307629409,669.6456108860025,0.026961751634151196,2.598435823529304e+16,217.35020800284985,145.85993264889748,236.35310007959163,143.41571831930457,229.1865078269305,37.84613700383566,200.0,2261.6387315151906,328102295.6140003,1217047644298.0234,0.3442405606948501,0.11621016150442413
2960,10.00278861525887,669.5264580277184,0.1461145968843652,2.59843582347873e+16,217.02872300711846,145.85993152094517,237.1185714753889,131.02702536059627,229.8521063098496,71.560215715555,200.0,2261.2363086292858,324891563.9238889,1233792226741.0317,0.33191140192896784,0.11204803280381789
4440,15.004182922888331,669.3131873998723,0.3593852126439505,2.5984358234318324e+16,216.61969902481445,145.49119535282932,237.28379704555346,125.21010608596076,230.05598946027885,89.5076997220326,200.00000000000202,2260.5160155303834,323604419.2241932,1239152868938.954,0.3201746359715113,0.10808588651608642
5920,20.005577230517794,668.9575258170877,0.7150467842304838,2.5984358233883828e+16,216.20897051818085,145.0780445583044,237.00272180992025,120.17644261143583,230.08118812314424,92.19876038454642,200.00000000005883,2259.3148159736907,322868131.6267022,1246719067053.3772,0.30919711375977643,0.10438004890363595
7400,25.006971538144153,668.5034895833442,1.1690830080343912,2.598435823349815e+16,215.75242520191426,144.79518252831065,236.6799005927289,116.24836898329062,229.00271545236816,97.83942058966248,200.0000000003468,2257.7813691548768,322026579.8008102,1249727270686.0232,0.2991200549272118,0.10097819343593037
8880,30.008365845770264,667.9107393078674,1.7618332736770936,2.5984358233116572e+16,215.32787043794036,144.6754634668132,236.2957865571934,113.83603662182807,228.7009119980437,111.49570903237664,200.00000000137567,2255.7794341621857,321301214.8076681,1252149026797.026,0.29030747220959446,0.09800320502582757
10360,35.009760153396385,667.1393940231121,2.5331785489668546,2.5984358232749292e+16,214.84709542416581,144.67543980009893,235.6841460524925,111.34109168590517,228.37173657105643,109.07589580727705,200.00000000427048,2253.1743183471717,320472649.4184279,1253786313399.6665,0.28302828164880717,0.09554586556056126
11840,40.01115446102249,666.2072664024294,3.4653061611582165,2.5984358232419816e+16,214.43015746967683,144.5903277253028,235.3365752372737,108.41119298053623,227.84622102456947,115.79927005935225,200.00000001114938,2250.0261816381712,319713636.4755471,1252673228063.14,0.2772909867424528,0.09360904568811709
13320,45.01254876865433,665.1513122973014,4.52126025828553,2.5984358232109376e+16,214.01814208968642,144.44240764967586,235.1104480155493,107.57065960765,227.16806403556583,115.32743889652596,200.00000002557147,2246.459837494289,318760215.28886425,1251807206038.437,0.27328146249805907,0.09225549370470174
14800,50.01394307628714,663.9687955266148,5.703777020759035,2.59843582317907e+16,213.5333361383159,144.44236198001738,235.35370243373418,105.55777998757162,227.090202128104,122.94668320162367,200.00000005303434,2242.4660448287736,317903595.1211344,1249443933209.391,0.2707906051450396,0.09141461968897123
16280,55.01533738391994,662.6050362463047,7.0675362939935855,2.598435823151616e+16,213.13514801314037,144.1995802798714,235.68971180078847,104.27093288504317,227.30073849802886,138.50137581965265,200.00000010150023,2237.8601297616506,317112867.92182076,1245755735748.1494,0.2694751848354825,0.0909705546558966
17760,60.01673169155275,661.0551656575304,8.617406875505665,2.5984358231234376e+16,212.77754179780283,144.1995097006432,235.90787363730908,103.55640023850341,227.60657192717431,124.32486015747958,200.00000018193003,2232.6256485742497,316063370.9521701,1242157477811.7412,0.26898407937098445,0.09080476516936978
19240,65.01812599918556,659.3207277770883,10.351844749367777,2.5984358230979056e+16,212.36309435403,144.19942803495044,236.20765612679762,103.35413929218223,227.6018037455877,132.02993040871416,200.00000030880886,2226.767815977356,315048668.16017926,1235157567888.9897,0.2689201806004978,0.09078319400418275
20720,70.01952030681838,657.4369708852798,12.2356016341638,2.598435823070697e+16,211.99770273812993,144.199356456555,236.28465174300624,103.24768761197562,227.6894700401355,145.05365441517523,200.0000005006487,2220.4056783361702,313962606.3287618,1230003754645.4417,0.2688333566350102,0.09075388365184897
22200,75.02091461445119,655.4090654398325,14.263507073063856,2.5984358230452916e+16,211.59191465215983,144.1992717244338,236.50626718362227,102.61331512214541,227.9957506017671,145.38693257513356,200.0000007804563,2213.5566981820166,312771017.39238197,1226259827617.3765,0.2683601115912507,0.09059412364279695
23680,80.022308922084,653.2402258485536,16.43234665801507,2.598435823020739e+16,211.24386526887565,144.0933149398636,236.63470600801003,102.63484234089623,228.14793535022758,132.88017455005894,200.0000011761583,2206.2317317485176,311641567.0061887,1220833544817.559,0.2672484201850913,0.0902188341383898
25160,85.02370322970734,650.8575529014774,18.81501959803992,2.5984358229933796e+16,210.88788303902197,144.0932370855124,236.9419495382687,102.25070163587235,228.6391240899965,157.695281393389,200.00000172097737,2198.1845716775197,310149277.10675687,1209736986552.4304,0.2653748211708039,0.08958633679056308
26640,90.02509753732674,648.2634500340666,21.409122459255567,2.5984358229693404e+16,210.60438287745922,144.0931221213733,237.24798844461998,100.34310512035717,228.9675702916729,133.0140241663251,200.00000245375526,2189.423335251721,308725875.0002234,1205182967329.773,0.262730396075739,0.08869362087055829
28120,95.02649184494616,645.4824883117523,24.1900841750757,2.5984358229441428e+16,210.25316048202987,144.09303736844834,237.66134456033203,99.79077933854359,229.36021459969365,161.30945513793716,200.0000034192205,2180.0310079672545,307122677.94468963,1197774420855.5037,0.2593604505669637,0.08755598069231102
29600,100.0278861525656,642.5552992396637,27.11727324148729,2.5984358229221144e+16,209.89105772638393,144.0928865518982,238.04117186775656,100.62812790868114,229.46310510559394,149.2565793534161,200.00000466820057,2170.14481731315,305738250.2928043,1189846950062.2783,0.25543331319911744,0.08623024121445849
31080,105.029280460185,639.5082435703085,30.164328904958374,2.598435822899283e+16,209.57791049072353,144.09277349368895,238.52897449162606,96.6462211251022,229.59783994264575,163.841601870042,200.00000625777756,2159.8537932149275,304150593.07919776,1182227568801.1074,0.2512552573120742,0.08481979570084518
32560,110.03067476780443,636.3034009475368,33.369171522142906,2.5984358228776044e+16,209.2336716731608,144.0499446774048,238.97346203651028,97.68745846618266,230.3283379866866,162.19977673288412,200.00000825139088,2149.0298647276177,302466981.45578825,1173578992052.1663,0.2471149833070641,0.08342210480324572
34040,115.03206907542386,632.9651181685236,36.70745429557876,2.598435822855963e+16,208.94261832914225,144.0498053774105,239.4266559662597,97.35118474079886,230.64986490491648,162.57963470809517,200.00001071888735,2137.7552599112323,300860255.49587035,1165905565738.0413,0.2432680995880539,0.08212345777553365
35520,120.03346338304327,629.445154374669,40.22741808362316,2.598435822833419e+16,208.75475434695272,144.04964634853556,239.82548439940285,98.57113165703282,230.97112373716857,155.35862434220573,200.00001373652256,2125.867051700355,298913262.92097574,1156694160193.8308,0.23985143024105268,0.08097004429894215
37000,125.03485769066269,625.7489383905756,43.92363406227227,2.5984358228122948e+16,208.5265471845945,144.04947889506903,240.3116824278655,95.95111319713274,231.3560549773965,169.29462881311022,200.00001738691603,2113.3835752259697,297056114.95246154,1148039338377.2698,0.23686330538610256,0.07996130070095137
38480,130.0362519982821,621.892817334619,47.77975511279396,2.5984358227912064e+16,208.31193049521568,144.04931695039036,240.744630242592,98.13462625824862,231.7341493741866,163.59710037476842,200.00002175896333,2100.360040699963,295064862.4698894,1138540632763.7656,0.23434617626454862,0.07911155773465312
39960,135.03764630590152,617.9047977466719,51.76777469569828,2.598435822771639e+16,208.0996699808636,144.01494563718157,241.7078053549878,97.44030156038284,231.76291176144278,165.3808584448342,200.0000269477094,2086.8910364751628,293068081.82685655,1130046580530.2988,0.23227963330020546,0.07841392551249976
41440,140.03904061352094,613.7985346280932,55.874037809008854,2.5984358227511976e+16,207.93192527945513,143.94236047169306,243.02643028246987,96.24914724233061,233.1001946934995,159.15088660137678,200.00003305418585,2073.0226804973154,291030306.57728964,1121114542142.958,0.23053585199739138,0.07782525257921949
42920,145.04043492114036,609.5956727490358,60.076899682764946,2.5984358227306276e+16,207.7219159203944,143.94215956968412,244.2043211091662,96.76441132711768,233.97311124963232,169.12753406066628,200.00004018521747,2058.8280750905715,288931121.6007626,1109301413055.3936,0.2289866222978652,0.07730225721694349
44400,150.04182922875978,605.2817205330406,64.39085189380029,2.5984358227113824e+16,207.63433284986246,143.83534908203674,245.20395479602263,97.26997398366815,235.05283546083302,163.9736866744558,200.00004845319984,2044.2582768883674,286630804.9451062,1100303815257.8967,0.22755910980466515,0.07682035158460127
45880,155.0432235363792,600.8863475164424,68.78622490567224,2.598435822693044e+16,207.51669556927544,143.58291391427872,246.164240405366,94.81794403995983,235.50747052018582,150.15663148715083,200.00005797585442,2029.413490792267,284587145.2098605,1094054014598.3859,0.2262587870126761,0.07638138322415679
47360,160.04461784399862,596.4285077592169,73.24406465779585,2.5984358226732484e+16,207.39694389968835,143.58253092861116,247.02837197716838,96.5291234210205,236.08203622336748,170.04053620677934,200.00006887596237,2014.3577316116912,282326922.82761824,1085979263442.5687,0.22500128814672118,0.0759568714948856
48840,165.04601215161804,591.8924793058573,77.78009310694632,2.5984358226569164e+16,207.36113564228037,143.47460084855044,247.8198530701701,95.50625572247029,236.8349231308652,184.59626760374894,200.00008128108277,1999.0379005389543,279978468.00331724,1073113694705.5908,0.22382589768508462,0.07556007838173043
