case,status,temperature_rmse_vs_full_k,u_rmse_vs_full_ms,v_rmse_vs_full_ms,max_relative_co2_drift,max_wind_ms,energy_change_j_m2_sr,aam_change_kg_m_s_sr,wall_seconds,compile_seconds
full,finite,0.0,0.0,0.0,2.5350832544290824e-12,166.57577158727466,-295021.15982955694,-2265570343.735962,4.210594204254448,13.38442795863375
no_pbl,finite,0.672856918930826,1.6594892075636138,1.5681662355936998,2.5052182550666657e-12,166.58038548500627,-579870.9234379232,-2065127881.9467773,3.8645084528252482,6.43563196901232
no_convection,finite,0.32012803349253605,0.4349601674211738,0.40993556056345054,2.5096591471651664e-12,166.5770751399514,-395118.2571515441,-2286236657.0217285,4.233932856004685,14.85899010580033
no_regolith,finite,0.7318401823772023,0.5997946680141581,0.6093534745245948,2.5121016378193417e-12,166.5782754864583,67834.43439775705,-2541337119.859741,4.242912006098777,13.057684891857207
no_co2_exchange,finite,0.16778161998264038,0.27885471269422,0.238862085353536,2.3893109712957994e-12,166.5229315091267,-213722.73381999135,-2064073741.5322266,4.236170919146389,15.11013948591426
weaker_diffusion,finite,0.18535587247965074,0.6094272059088544,0.6209484842346378,2.440048163521169e-12,166.91527806217366,-288944.3840755522,-2213134797.743408,4.266331253107637,14.246150145307183
half_timestep,finite,0.004213688447182399,0.008917739821990504,0.009834385170886004,5.026201677083009e-12,166.5760129813278,-294724.7086966634,-2265379665.9697266,8.55237511685118,14.144739446695894
co2_longwave_opacity_scale_0.8,finite,0.09948166366087757,0.054758267859612006,0.05516828289974214,2.5123236824242667e-12,166.61036482868136,-222094.8287577629,-2265925326.4016113,4.291838745120913,3.155926061794162
co2_longwave_opacity_scale_1.2,finite,0.08407785996277953,0.04513046741851468,0.04552322987819754,2.5150992399858296e-12,166.54738278535555,-358147.3675646186,-2265671725.6602783,4.295070338994265,2.9707590020261705
dust_longwave_opacity_scale_0.8,finite,0.08115176424469438,0.054342286462152514,0.06158835545025761,2.4699131628835858e-12,166.59648919609532,-231854.38005840778,-2256134064.3779297,4.300876495894045,3.151009077206254
dust_longwave_opacity_scale_1.2,finite,0.07925554729093168,0.05333514425679984,0.06052187481407601,2.5444091278359338e-12,166.55541493446023,-355483.560657084,-2274767227.46521,4.307879606261849,2.8536364883184433
surface_exchange_multiplier_0.8,finite,0.27650113176727875,0.32698976617501424,0.30888569704388824,2.5467405961876466e-12,166.5741813042713,-523271.95010334253,-2166739440.3792725,4.31060742167756,3.092067855875939
surface_exchange_multiplier_1.2,finite,0.23694243469721096,0.2787678054009191,0.2621795436786505,2.5444091278359338e-12,166.57740312684942,-97328.59387648106,-2349462457.5456543,4.31248368229717,2.9624371202662587
