case,status,temperature_rmse_vs_full_k,u_rmse_vs_full_ms,v_rmse_vs_full_ms,max_relative_co2_drift,max_wind_ms,energy_change_j_m2_sr,aam_change_kg_m_s_sr,wall_seconds,compile_seconds,source_directory
full,finite,0.0,0.0,0.0,4.284988919245336e-09,236.0459976970617,3369513.798968464,9703581582.796389,6063.125624855049,13.677419038955122,outputs/Untitled
co2_longwave_opacity_scale_1.2,finite,3.531197640700158,8.546118005886104,8.753803004172815,4.2775029074348944e-09,220.7700026831402,3475428.679689467,9559777307.45984,6122.792288572993,2.8311417791992426,outputs/paper-year-gpu2
dust_longwave_opacity_scale_1.2,finite,3.616286896478703,8.534804687981385,8.867247260847597,4.256465180318969e-09,239.7995693007388,3402788.577038288,7003733395.089966,6097.196972453967,2.9490637755952775,outputs/paper-year-gpu3
surface_exchange_multiplier_0.8,finite,3.686968769982448,8.740540634780997,8.98439784718288,4.301038414311621e-09,226.52856613976937,2458129.4263267517,7606597712.021728,6103.382879929151,3.241596369072795,outputs/paper-year-gpu1
half_timestep,finite,3.6999994063805897,8.76054250161404,9.14837427722527,8.54180959297679e-09,237.80986632679085,3358529.648804605,8777237611.791992,12194.049033509102,13.576029704883696,outputs/paper-year-gpu3
dust_longwave_opacity_scale_0.8,finite,3.719836107283466,8.828985852339146,9.138986213604856,4.257430075149671e-09,226.55445371681236,3234541.4015530944,4762857450.453369,6138.813983344007,3.027928072027862,outputs/paper-year-gpu2
co2_longwave_opacity_scale_0.8,finite,3.762227136685146,8.739443856151262,9.209377198194806,4.25149959681903e-09,221.18538012792732,3286172.935312122,5995370058.241211,6121.199905435089,3.079511866904795,outputs/paper-year-gpu2
weaker_diffusion,finite,3.764896119847513,9.14505314179061,9.387681407709769,4.231372585650206e-09,222.69919415894267,3271810.65371722,11051028252.230713,6097.712812955026,13.922063297126442,outputs/paper-year-gpu1
no_convection,finite,3.791622552140449,9.012922811064398,9.316716379403363,4.2584271664480874e-09,233.24031712808784,2961410.530790627,7097664441.195557,6082.164496412966,13.85378911998123,outputs/Untitled
surface_exchange_multiplier_1.2,finite,3.867274190273635,9.120325022509402,9.248094939274813,4.2179643111595055e-09,239.3518398656771,4070096.829784036,8906045351.20288,6128.027289298829,3.1113347648642957,outputs/paper-year-gpu3
no_pbl,finite,3.949879893695728,9.827109527206822,9.72863892164393,4.147677090671209e-09,226.43566156620315,2046040.88796705,6459460284.424927,5629.238062235992,5.102707181125879,outputs/Untitled
no_regolith,finite,4.144342706702024,9.62735154286541,9.7269371890802,4.134695030799662e-09,228.89878730300643,-5755928.112026036,-30523236534.05664,6054.486695706844,12.884354234207422,outputs/Untitled
no_co2_exchange,finite,5.009108028194971,10.522211913699715,9.901835303032382,3.949909510581051e-09,236.25479219860148,-651954.4140117466,-858388194.4932861,6064.796487054322,13.483658699784428,outputs/paper-year-gpu1
