time_hours,temperature_k,pressure_pa,ice_mass_kg,solar_flux_wm2,orbital_angle_rad
1.0,206.62703314322863,610.1143498729845,4995563043515301.0,713.2462140452498,0.0003810762558939584
2.0,203.4608316455792,610.228719621258,4991125315837854.0,713.2461875021103,0.0007621525117879168
3.0,200.48018717148372,610.3431092190074,4986686817969258.0,713.2461432635502,0.0011432287676818751
4.0,197.66686850624026,610.4575186404147,4982247550911281.0,713.2460813295772,0.0015243050235758337
5.0,195.0051001759419,610.571947859658,4977807515665859.0,713.2460017002023,0.0019053812794697922
6.0,192.4811490910938,610.686396850911,4973366713235097.0,713.2459043754408,0.0022864575353637507
7.0,190.61480450210098,610.8008655883428,4968925144621268.0,713.2457893553101,0.0026675337912577092
8.0,192.65745048050377,610.9153540461184,4964482810826813.0,713.2456566398304,0.0030486100471516678
9.0,197.9466845023386,611.0298621983985,4960039712854341.0,713.2455062290278,0.0034296863030456263
10.0,205.61111183107042,611.1443900193393,4955595851706628.0,713.245338122928,0.003810762558939585
11.0,214.61731021755259,611.2589374830928,4951151228386617.0,713.2451523215622,0.004191838814833543
12.0,223.84599933242808,611.3735045638069,4946705843897418.0,713.2449488249642,0.004572915070727501
13.0,232.18938752585518,611.4880912356249,4942259699242307.0,713.2447276331717,0.0049539913266214595
14.0,238.65353549595062,611.6026974726858,4937812795424727.0,713.2444887462244,0.005335067582515418
15.0,242.44397403069638,611.7173232491247,4933365133448287.0,713.2442321641662,0.005716143838409376
16.0,243.01592605501682,611.8319685390719,4928916714316761.0,713.2439578870438,0.006097220094303334
17.0,240.08301710369602,611.946633316654,4924467539034088.0,713.2436659149073,0.006478296350197292
18.0,234.4098074993888,612.061317555993,4920017608604374.0,713.24335624781,0.00685937260609125
19.0,229.2374584117565,612.1760212312066,4915566924031888.0,713.2430288858084,0.007240448861985208
20.0,224.49337739562992,612.2907443164084,4911115486321065.0,713.2426838289617,0.007621525117879166
21.0,220.11912599202583,612.4054867857079,4906663296476502.0,713.2423210773337,0.008002601373773125
22.0,216.06702976709445,612.5202486132101,4902210355502963.0,713.2419406309901,0.008383677629667083
23.0,212.2977354371072,612.635029773016,4897756664405374.0,713.2415424900003,0.008764753885561041
24.0,208.7784164702534,612.749830239222,4893302224188824.0,713.241126654437,0.009145830141455
24.65979,206.57968060702686,612.8255828339777,4890362903332914.0,713.2408426015502,0.009397260444331274
